"Access Token",Zugriffstoken
"Add to cart","In den Warenkorb"
"All Products","Alle Artikel"
"Available items","Anzahl verfügbar"
"Button icon","Knopf-Symbol"
"Clicking one of the options will take you to the results page.","Ein Klick auf eine der Optionen führt Sie zur Ergebnis-Seite."
Configuration,Konfiguration
Configure,Konfigurieren
Day,Tag
Days,Tage
"Go to previous step","Zum vorherigen Schritt gehen"
Hour,Stunde
Hours,Std.
Min,Min.
"Next slide(s)","Nächste Folie(n)"
"Page not found.","Seite nicht gefunden."
"Previous slide(s)","Vorherige Folie(n)"
Sale,Verkauf
Sec,Sek.
"Time left","Verbleibende zeit"
"User ID",Benutzer-ID
"View product","Produkt ansehen"
"Show product details","Produktdetails anzeigen"
"Show details for %1","Details für %1 anzeigen"
