"Page not found.","Page not found."
"Add to cart","Add to cart"
Configure,Configure
"Teaser image","Teaser image"
"Additional filter must implement interface FilterInterface","Additional filter must implement interface FilterInterface"
"Additional sorter must implement interface SorterInterface","Additional sorter must implement interface SorterInterface"
"All Products","All Products"
"Time left","Time left"
Day,Day
Days,Days
Hour,Hour
Hours,Hours
Min,Min
Sec,Sec
"Available items","Available items"
Sale,Sale
"Go to previous step","Go to previous step"
"MageSuite Content Constructor","MageSuite Content Constructor"
MageSuite,MageSuite
"Content Constructor","Content Constructor"
Configuration,Configuration
"Enable components list test page","Enable components list test page"
"Sort subcategories alphabetically","Sort subcategories alphabetically"
"Instagram Data Feed Component Configuration","Instagram Data Feed Component Configuration"
"Access Token","Access Token"
"User ID","User ID"
"Media Api Url","Media Api Url"
"User ID Api Url","User ID Api Url"
