"Access Token","Token di accesso"
"Button icon","Icona del pulsante"
"Clicking one of the options will take you to the results page.","Cliccando su una delle opzioni verrai indirizzato alla pagina dei risultati."
Configuration,Configurazione
Configure,Configura
Day,Giorno
Days,Giorni
"Go to previous step","Vai al passo precedente"
Hour,Ora
"Next slide(s)","Prossima slide/e"
"Page not found.","Pagina non trovata."
"Previous slide(s)","Slide/e precedenti"
Sale,Vendita
Sec,Sec
"User ID","ID Utente"
