"Access Token",Toegangs-token
"All Products","Alle producten"
"Button icon","Knop icoon"
"Clicking one of the options will take you to the results page.","Klikken op een van de opties brengt u naar de resultatenpagina."
Configuration,Configuratie
Configure,Configureren
Day,Dag
Days,Dagen
"Go to previous step","Ga naar vorige stap"
Hour,Uur
"Next slide(s)","Volgende dia('s)"
"Page not found.","Pagina niet gevonden."
"Previous slide(s)","Vorige dia('s)"
Sec,Sec
Sale,Uitverkoop
"User ID",Gebruiker-ID
